mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
6064,8,-8,6045.2,1.0,0.0,0.0,0.0,0.5,0.5,0,3.3333333333333335,grd,0
6092,8,-8,0,0,0.0,0.0,0.0,1.5,1.5,0,3.3333333333333335,grd,0
6315,7,-7,6315.6,1.0,4.8,2.1,-2.1,0.5,0.5,1,3.3333333333333335,lam,1
6337,10,-9,6339.7,1.0,11.1,4.8,-4.7,0.5,1.5,1,3.3333333333333335,lam,1
6321,8,-7,6330.3,1.0,24.7,11.2,-11.2,1.5,0.5,1,3.3333333333333335,lam,1
6343,7,-7,6349.8,1.0,6.5,2.8,-2.8,1.5,1.5,1,3.3333333333333335,lam,1
6353,11,-11,0,0,41.7,18.4,-18.2,2.5,1.5,1,3.3333333333333335,lam,1
6465,8,-8,0,0,10.1,4.4,-4.3,0.5,0.5,1,3.3333333333333335,rho,1
6471,9,-9,0,0,55.4,24.4,-24.3,1.5,0.5,1,3.3333333333333335,rho,1
6568,10,-10,0,0,4.2,1.8,-1.8,1.5,0.5,2,3.3333333333333335,lam,2
6578,12,-12,0,0,10.0,4.3,-4.4,2.5,0.5,2,3.3333333333333335,lam,2
6584,17,-17,0,0,1.1,0.5,-0.5,0.5,1.5,2,3.3333333333333335,lam,2
6590,12,-13,0,0,3.5,1.5,-1.5,1.5,1.5,2,3.3333333333333335,lam,2
6600,10,-10,0,0,8.0,3.7,-3.8,2.5,1.5,2,3.3333333333333335,lam,2
6614,18,-18,0,0,18.2,11.1,-10.9,3.5,1.5,2,3.3333333333333335,lam,2
6574,10,-10,0,0,0.7,0.3,-0.3,0.5,0.5,0,3.3333333333333335,rpl,2
6602,10,-11,0,0,0.6,0.3,-0.3,1.5,1.5,0,3.3333333333333335,rpl,2
6874,17,-17,0,0,13.6,6.3,-6.4,0.5,0.5,0,3.3333333333333335,rpr,2
6903,16,-17,0,0,8.7,3.7,-3.7,1.5,1.5,0,3.3333333333333335,rpr,2
6718,13,-13,0,0,121.4,57.4,-58.1,1.5,0.5,2,3.3333333333333335,mix,2
6728,15,-15,0,0,84.9,38.1,-37.3,2.5,0.5,2,3.3333333333333335,mix,2
6720,13,-13,0,0,1.1,0.5,-0.5,0.5,0.5,1,3.3333333333333335,mix,2
6726,14,-14,0,0,2.1,1.0,-1.0,1.5,0.5,1,3.3333333333333335,mix,2
6724,13,-13,0,0,74.5,34.8,-34.9,0.5,0.5,0,3.3333333333333335,mix,2
6868,16,-16,0,0,185.3,84.3,-86.1,1.5,0.5,2,3.3333333333333335,rho,2
6878,18,-18,0,0,163.9,73.3,-73.2,2.5,0.5,2,3.3333333333333335,rho,2
6884,20,-20,0,0,130.4,57.1,-57.2,0.5,1.5,2,3.3333333333333335,rho,2
6890,17,-17,0,0,201.2,88.6,-86.0,1.5,1.5,2,3.3333333333333335,rho,2
6901,16,-16,0,0,178.1,75.0,-76.1,2.5,1.5,2,3.3333333333333335,rho,2
6915,23,-23,0,0,240.5,105.5,-106.3,3.5,1.5,2,3.3333333333333335,rho,2
